sg_uf;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;qt_votos_nom_validos
SP;Deputado Federal;1410;DANILA CINTIA AZEVEDO DE OLIVEIRA;PTB;PTB;1;Não eleito;6;SP;250001604817;2040602022;2676
SP;Deputado Federal;5555;GUILHERME CAMPOS JUNIOR;PSD;PSD;1;Suplente;6;SP;250001604972;2040602022;43757
SP;Deputado Federal;1933;FRANCISCO ALEXANDRE FILHO;PODE;PODE;1;Suplente;6;SP;250001610278;2040602022;10588
SP;Deputado Federal;1310;IARA BERNARDI;PT;PT / PV / PC do B;1;Suplente;6;SP;250001610701;2040602022;45136
SP;Deputado Federal;1157;CLEBER DA ROSA MOREIRA;PP;PP;1;Suplente;6;SP;250001611968;2040602022;5119
SP;Deputado Federal;1189;SAMUEL PAES;PP;PP;1;Suplente;6;SP;250001611995;2040602022;3180
SP;Deputado Federal;5029;AGOSTINHO FERREIRA GOMES;PSOL;REDE / PSOL;1;Suplente;6;SP;250001613783;2040602022;797
SP;Deputado Federal;1209;LUCINEIA FERREIRA SANTOS COSTA;PDT;PDT;1;Não eleito;6;SP;250001643752;2040602022;1503
SP;Deputado Federal;1480;ROSEMEIRE MARTINS DE CARVALHO;PTB;PTB;1;Não eleito;6;SP;250001604852;2040602022;1187
SP;Deputado Federal;4040;TABATA CLAUDIA AMARAL DE PONTES;PSB;PSB;1;Eleito por QP;6;SP;250001620281;2040602022;337873
SP;Deputado Federal;7027;GILBERTO MACHADO DE OLIVEIRA MARQUES;AVANTE;AVANTE;1;Não eleito;6;SP;250001622078;2040602022;564
SP;Deputado Federal;5127;JORGE HERMES GUIMARÃES;PATRIOTA;PATRIOTA;1;Não eleito;6;SP;250001620738;2040602022;0
SP;Deputado Federal;7766;EUNICE FATIMA RODRIGUES REBOUÇAS DO NASCIMENTO;SOLIDARIEDADE;SOLIDARIEDADE;1;Suplente;6;SP;250001606089;2040602022;801
SP;Deputado Federal;1904;ADELAIDE CASTRO DE OLIVEIRA;PODE;PODE;1;Suplente;6;SP;250001610288;2040602022;1516
SP;Deputado Federal;2205;SALOMÃO PEREIRA DA SILVA;PL;PL;1;Suplente;6;SP;250001611367;2040602022;3493
SP;Deputado Federal;2003;ROGERIO XAVIER FRANÇA;PSC;PSC;1;Suplente;6;SP;250001643888;2040602022;814
SP;Deputado Federal;4406;FRANCIELLE EYRE DE OLIVEIRA TRIANI;UNIÃO;UNIÃO;1;Suplente;6;SP;250001651723;2040602022;813
SP;Deputado Federal;1450;RUBENS NUSQUE JUNIOR;PTB;PTB;1;Não eleito;6;SP;250001604833;2040602022;3750
